Inverted Shrug (on parallel bars)|Traps|Trapezius, Upper|Body Weight|Stand between parallel bars. Squat down and grasp parallel bars from above. Kick legs up inverting and balancing body upside down. Legs can be kept bent or straight, positioned vertically.Raise body up a high as possible by pulling shoulders toward ears. Lower body to original position and repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Seated Calf Raise (plate loaded)|Inner Calf|Soleus|Lever (plate loaded)|Sit on seat facing lever. Place forefeet on platform with heels extending off. Position lower thighs under lever pads. Grasp handles if available or place hands on lever pad. Lift lever slightly by pushing heels up. Release support lever.Lower heels by bending ankles until calves are stretched. Raise heels by extending ankles as high as possible. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Alternating Seated Pushdown|Triceps|Triceps Brachii|Cable|Sit on seat or bench in font of two close high pulleys. Grasp stirrup with each hand (over or underhand grip). Position elbows to side.Push one stirrup down by extending elbow until arm is straight. Return until forearm returns to original positon, keeping elbow close to side. Repeat with opposite arm and alternate.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Sled Lying Leg Press (plate loaded)|Quads|Quadriceps|Leg Presses|Lie supine on platform with shoulders against pad. Place feet slightly high on platform. Extend hips and knees. Release dock lever and grasp handles to sides.Bring sled toward platform by flexing hips and knees until knees are just short of complete flexion or until hips are completely flexed. Return by extending knees and hips. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Hanging Leg Curl|Hamstrings|Hamstrings|Body Weight|Lay supine underPull body toward feet by bending knees and hips. Roll onto feet until knees are fully flexed. Return body to original position by extending knees and hips. Repeat.Positioned bar so back is slightly above floor once grip is established. Keep low back straight, maintaining approximate height from floor throughout movement. Hamstrings seemingly acts as a dynamic stabilizer, since it shortens through knee, while it lengthens through hip. However, net contraction actually appears to occur, since hip flexes only slightly, while knee flexes nearly 100%, allowing hamstrings to remain in a mechanically strong position throughout movement.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Smith Split Squat|Quads|Quadriceps|Smith|With bar upper chest height, position bar on back of shoulders and grasp bar to sides. Place one foot forward slightly and forefoot of other leg further back. Disengage bar by rotating bar back.Lower body on other leg by flexing knees and hips of both legs until knee of rear leg is almost in contact with floor. Return to original straddled position by extending hips and knees of both legs. Repeat. Continue with opposite leg.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Rear Pulldown|Lats|Latissimus Dorsi|Cable|Grasp cable bar with wide grip. Sit with thighs under supports.Pull cable bar down behind neck. Return until arms and shoulders are fully extended. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Lever Straight Leg Deadlift (plate loaded)|Hamstrings|Hamstrings|Lever (plate loaded)|Stand between lever handles with shoulder width or narrower stance. Squat down and grasp handles to each side. Stand upright with arms straight down to sides.With knees straight, bow forward by bending hips. Bend waist as stirrups approach lowest position. Lift lever by extending hips and waist until standing upright. Pull shoulders back slightly if rounded. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Weighted Vertical Leg Raise|Hip Flexors|Iliopsoas|Weighted|Place weight between ankles or use no weight. Position forearms on padded parallel bars with hands on handles, and back on vertical pad.Raise legs by flexing hips and knees until hips are completely flexed or knees are well above hips. Return until hips and knees are extended. Repeat.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
Cable Front Lateral Raise|Supraspinatus|Supraspinatus|Cable|Grasp dumbbell cable attachment. Stand facing side with resting arm toward low pulley. Grasp ballet bar if available for support. Internally rotate shoulders so elbows point out to sides.With elbow straight or slightly bent, raise upper arm away from low pulley to side, slightly to front (30°) until upper arm is shoulder height. Lower and repeat. Continue with opposite arm.|Basic|https://www.rocketdogrescue.org/wp-content/uploads/2016/08/dog-working-out.jpg|False
